Drug,ATC Codes
Z-Pro-Prolinal,No ATC Code
Benzyl N-[(2S)-5-(diaminomethylamino)-1-[[(2S)-4-fluoro-3-oxobutan-2-yl]amino]-1-oxopentan-2-yl]carbamate,No ATC Code
[4-(4-Hydroxy-Benzyl)-2-(2-Hydroxy-1-Methyl-Ethyl)-5-Oxo-Imidazolidin-1-Yl]-Acetic Acid,No ATC Code
2-(Acetylamino)-2-Deoxy-6-O-Methyl-Alpha-D-Allopyranose,No ATC Code
Norcamphor,No ATC Code
"10-Propargyl-5,8-Dideazafolic Acid",No ATC Code
L-Myo-Inositol-1-Phosphate,No ATC Code
1-(O-Carboxy-Phenylamino)-1-Deoxy-D-Ribulose-5-Phosphate,No ATC Code
S-Phosphocysteine,No ATC Code
"N-({4-[(1R)-4-[(2R,4S,5S)-2,4-diamino-6-oxohexahydropyrimidin-5-yl]-1-(2,2,2-trifluoro-1,1-dihydroxyethyl)butyl]phenyl}carbonyl)-L-glutamic acid",No ATC Code
3-deoxy-alpha-D-manno-oct-2-ulopyranosonic acid,No ATC Code
Biotinyl P-Nitroaniline,No ATC Code
Isopenicillin N,No ATC Code
"(3R,4R)-3-Hydroxy-4-(hydroxymethyl)-1-[(4-oxo-4,4a,5,7a-tetrahydro-3H-pyrrolo[3,2-d]pyrimidin-7-yl)methyl]pyrrolidinium",No ATC Code
3-Tyrosine,No ATC Code
Glutaric Acid,No ATC Code
5-Iodouracil,No ATC Code
CRA_11092,No ATC Code
"2-(2-{2-[2-(2-{2-[2-(2-Ethoxy-Ethoxy)-Ethoxy]-Ethoxy}-Ethoxy)-Ethoxy]-Ethoxy}-Ethoxy)-Ethanol, Polyethyleneglycol Peg400",No ATC Code
4-[[(2S)-1-[[6-[(1-Amino-1-oxo-3-sulfanylpropan-2-yl)amino]-6-oxohexyl]amino]-3-[4-[difluoro(phosphono)methyl]phenyl]-1-oxopropan-2-yl]amino]-3-[[2-[4-[difluoro(phosphono)methyl]phenyl]acetyl]amino]-4-oxobutanoic acid,No ATC Code
SP-876,No ATC Code
Cyclohexylformamide,No ATC Code
P-Hydroxybenzaldehyde,No ATC Code
Tetrahydrodeoxyuridine,No ATC Code
"(4r)-2-Methylpentane-2,4-Diol",No ATC Code
1-O-Octyl-2-Heptylphosphonyl-Sn-Glycero-3-Phosphoethanolamine,No ATC Code
Spermidine,No ATC Code
alpha-N-Acetyl-D-galactosamine,No ATC Code
Butyric Acid,No ATC Code
"4,5-Dehydro-L-Iduronic Acid",No ATC Code
Tris-Hydroxymethyl-Methyl-Ammonium,No ATC Code
"3-(5-amino-7-hydroxy-[1,2,3]triazolo[4,5-d]pyrimidin-2-yl)-N-(3,5-dichlorobenzyl)-benzamide",No ATC Code
FR230513,No ATC Code
WRR-99,No ATC Code
Ferricrocin-iron,No ATC Code
Phencyclidine,No ATC Code
N-Pyridoxyl-Threonine-5-Monophosphate,No ATC Code
Alpha-Benzyl-Aminobenzyl-Phosphonic Acid,No ATC Code
Pyruvamide,No ATC Code
Glucose-6-Phosphate,No ATC Code
N~2~-Succinylornithine,No ATC Code
"(2E,3S)-3-hydroxy-5'-[(4-hydroxypiperidin-1-yl)sulfonyl]-3-methyl-1,3-dihydro-2,3'-biindol-2'(1'H)-one",No ATC Code
4-Thio-beta-D-glucopyranose,No ATC Code
Oxyphenbutazone,"M01AA03, M02AA04, S01BC02"
"(3R,4R,5S,6R)-6-Fluoro-3,4,5-trihydroxytetrahydro-2H-pyran-2-olate",No ATC Code
Pyruvaldehyde,No ATC Code
Diphenylacetic acid,No ATC Code
Mesoxalic acid,No ATC Code
"2,6-Diaminopimelic Acid",No ATC Code
RU82209,No ATC Code
Pterin-6-Yl-Methyl-Monophosphate,No ATC Code
7-methyl-5'-guanylic acid,No ATC Code
"1,2,4-Triazole",No ATC Code
CRA_9785,No ATC Code
N-[2-(1h-Indol-5-Yl)-Butyl]-4-Sulfamoyl-Benzamide,No ATC Code
gamma-Glutamyl[S-(2-iodobenzyl)cysteinyl]glycine,No ATC Code
"Al-6629, [2h-Thieno[3,2-E]-1,2-Thiazine-6-Sulfonamide,2-(3-Methoxyphenyl)-3-(4-Morpholinyl)-, 1,1-Dioxide]",No ATC Code
Capric acid,No ATC Code
5-deoxyflavanone,No ATC Code
S-benzylglutathione,No ATC Code
Glucaric acid,No ATC Code
Tiratricol,"H03AA04, D11AX08"
"(2s)-2-[(2,4-Dichloro-Benzoyl)-(3-Trifluoromethyl-Benzyl)-Amino]-3-Phenyl-Propionic Acid",No ATC Code
(S)-Rolipram,No ATC Code
[(1R)-1-acetamido-2-(4-chlorophenyl)ethyl]-[(2S)-2-amino-3-hydroxy-3-oxo-propoxy]-dihydroxy-boron,No ATC Code
Diminazene,No ATC Code
3'-deoxyguanosine,No ATC Code
4-(trifluoromethyl)phenol,No ATC Code
L-2-amino-4-methoxy-cis-but-3-enoic acid,No ATC Code
3-Hydroxybutyryl-Coenzyme A,No ATC Code
4-hydroxyphenacyl coenzyme A,No ATC Code
Mecobalamin,B03BA05
Ribostamycin,J01GB10
Kabiramide C,No ATC Code
Modified Acarbose Hexasaccharide,No ATC Code
2-(acetylamino)-2-deoxy-4-O-beta-D-galactopyranosyl-alpha-D-glucopyranose,No ATC Code
Deoxycholic acid,D11AX24
"L-709,587",No ATC Code
"5-[4-(2-Hydroxyethyl)-1-piperidinyl]-5-phenyl-2,4,6(1H,3H,5H)-pyrimidinetrione",No ATC Code
"9-(4-Hydroxyphenyl)-2,7-Phenanthroline",No ATC Code
7-(Carboxyamino)-8-Amino-Nonanoic Acid,No ATC Code
"5-Methoxy-1,2-Dimethyl-3-(Phenoxymethyl)Indole-4,7-Dione",No ATC Code
Adamantane,No ATC Code
ISO24,No ATC Code
Pyridoxal-5'-Phosphate-N-Oxide,No ATC Code
2-Iodobenzylthio Group,No ATC Code
"3-(4-hydroxy-3-imino-6-oxo-cyclohexa-1,4-dienyl)-alanine",No ATC Code
Argifin,No ATC Code
Lpc-Ether,No ATC Code
"1,3-DI(N-Propyloxy-A-mannopyranosyl)-carbomyl 5-methyazido-benzene",No ATC Code
Ethanesulfonic acid,No ATC Code
Glycinamide,No ATC Code
Guanidine-3-propanol,No ATC Code
Cytidyl-2'-5'-phospho-guanosine,No ATC Code
1-Guanidinium-7-Aminoheptane,No ATC Code
Beta-Hydroxyaspartic Acid,No ATC Code
"2'-deoxyuridine 5'-alpha,beta-imido-diphosphate",No ATC Code
N-[(2S)-4-Methyl-1-oxo-1-{[(4S)-3-oxo-1-(2-pyridinylsulfonyl)-4-azepanyl]amino}-2-pentanyl]-1-benzofuran-2-carboxamide,No ATC Code
CRA_1144,No ATC Code
3-hydroxyanthranilic acid,No ATC Code
Phosphonoacetohydroxamic Acid,No ATC Code
"2,3-di-O-phytanyl-sn-glycerol",No ATC Code
3-[Isopropyl(4-Methylbenzoyl)Amino]-5-Phenylthiophene-2-Carboxylic Acid,No ATC Code
"(2S,2'S)-2,2'-(1,2-Hydrazinediylbis{methylene[(2S)-1-oxo-2,1-hexanediyl]imino})bis(6-amino-N-phenylhexanamide)",No ATC Code
"[{(5-Chloro-2-Pyridinyl)Amino} Methylene]-1,1-Bisphosphonate",No ATC Code
(3e)-3-[(4-Hydroxyphenyl)Imino]-1h-Indol-2(3h)-One,No ATC Code
Picric acid,No ATC Code
beta-D-Galactopyranuronic acid,No ATC Code
"5-{[Ethyl(Methyl)Amino]Methyl}-2-Methyl-5,6-Dihydropyrimidin-4-Amine",No ATC Code
"S,S-Propylthiocysteine",No ATC Code
Tribenuron Methyl,No ATC Code
1-deoxy-1-methoxycarbamido-beta-D-glucopyranose,No ATC Code
"(2R,4S)-2-[(1R)-1-{[(2R)-2-Amino-2-(4-hydroxyphenyl)acetyl]amino}-2-oxoethyl]-5,5-dimethyl-1,3-thiazolidine-4-carboxylic acid",No ATC Code
Butylamine,No ATC Code
4-Iodo-L-phenylalanine,No ATC Code
L-cysteic acid,No ATC Code
Vitamin B6 Complexed with 2-Amino-Pentanoic Acid,No ATC Code
"1-[(2-Amino-6,9-Dihydro-1h-Purin-6-Yl)Oxy]-3-Methyl-2-Butanol",No ATC Code
P1-(adenosine-5'-P5-(uridine-5')pentaphosphate,No ATC Code
Zidovudine monophosphate,No ATC Code
Acetic Acid Salicyloyl-Amino-Ester,No ATC Code
6-oxouridine 5'-phosphate,No ATC Code
4-Fluorophenethyl Alcohol,No ATC Code
"2-(Oxalyl-Amino)-4,5,6,7-Tetrahydro-Thieno[2,3-C]Pyridine-3-Carboxylic Acid",No ATC Code
Digoxigenin,No ATC Code
9-N-Phenylmethylamino-Tacrine,No ATC Code
beta-2-Thienyl-L-alanine,No ATC Code
"2,3-Dihydroxy-Valerianic Acid",No ATC Code
Cystein-S-Yl Cacodylate,No ATC Code
N-Cyclohexyl-N'-Decylurea,No ATC Code
"(6,7-Difluoro-Quinazolin-4-Yl)-(1-Methyl-2,2-Diphenyl-Ethyl)-Amine",No ATC Code
2-Hydroxy-Tryptophan,No ATC Code
Tartronate,No ATC Code
"Dibenzofuran-4,6-Dicarboxylic Acid",No ATC Code
2-{[Formyl(Hydroxy)Amino]Methyl}-4-Methylpentanoic Acid,No ATC Code
Uridine monophosphate,No ATC Code
S-(4-nitrobenzyl)glutathione,No ATC Code
4-(Cytidine 5'-diphospho)-2-C-methyl-D-erythritol,No ATC Code
Hydracrylic acid,No ATC Code
"(Z,Z)-4-Hydroxy-N,N,N-Trimethyl-10-Oxo-7-[(1-Oxo-9-Octadecenyl)Oxy]-3,5,9-Trioxa-4-Phosphaheptacos-18-En-1-Aminium-4-Oxide",No ATC Code
WRR-112,No ATC Code
1-Hexadecanosulfonyl-O-L-Serine,No ATC Code
N-(2-Aminoethyl)-5-Chloroisoquinoline-8-Sulfonamide,No ATC Code
N-phenylthiourea,No ATC Code
Piritrexim,No ATC Code
Lanosterol,No ATC Code
4-Sulfonamide-[1-(4-Aminobutane)]Benzamide,No ATC Code
5-Mercaptoethanol-2-decenoyl-coenzyme A,No ATC Code
Succinyl-Coenzyme A,No ATC Code
D-Threonine,No ATC Code
Vanoxerine,No ATC Code
"N-{4-[(Carboxymethyl)carbamoyl]benzoyl}-L-valyl-N-[(3S)-1,1,1-trifluoro-4-methyl-2-oxo-3-pentanyl]-L-prolinamide",No ATC Code
Cyclohexanol,No ATC Code
12-Hydroxydodecanoic Acid,No ATC Code
6-Methylamino-5-Nitroisocytosine,No ATC Code
1-Hydroxy-2-S-glutathionyl-3-para-nitrophenoxy-propane,No ATC Code
S-Ethyl-N-Phenyl-Isothiourea,No ATC Code
Adenosine 5'-phosphosulfate,No ATC Code
Bicine,No ATC Code
[(1S)-4-(1-Aminobutylideneamino)-1-carboxybutyl]azanium,No ATC Code
6-Hydroxy-6-Methyl-Heptan-3-One,No ATC Code
RU85053,No ATC Code
4-Carbamoyl-4-{[6-(Difluoro-Phosphono-Methyl)-Naphthalene-2-Carbonyl]-Amino}-Butyric Acid,No ATC Code
5'-Fluoro-5'-Deoxyadenosine,No ATC Code
"3-Hydroxy-4-(3,4,5-trihydroxy-tetrahydro-pyran-2-yloxy)-piperidin-2-one",No ATC Code
6-aza uridine 5'-monophosphate,No ATC Code
N-Ethyl-5'-Carboxamido Adenosine,No ATC Code
"alpha,beta-Dehydroaminobutyric acid",No ATC Code
N-acetyl-alpha-neuraminic acid,No ATC Code
"3,4-Dihydro-5-Methyl-Isoquinolinone",No ATC Code
2'-Deoxy-thymidine-beta-L-rhamnose,No ATC Code
"(1s,2s)-1-Amino-1-(1,3-Thiazol-2-Yl)Propan-2-Ol",No ATC Code
5'-Guanylylmethylenebisphosphonate,No ATC Code
Purine Riboside-5'-Monophosphate,No ATC Code
Coproporphyrin I,No ATC Code
p-Chlorobenzoic acid,No ATC Code
2-Amino-1H-benzimidazol-5-ol,No ATC Code
"3,9-Dimethyladenine",No ATC Code
S-2-(Boronoethyl)-L-Cysteine,No ATC Code
Etheno-Nadp,No ATC Code
Ethylene Dichloride,No ATC Code
Xylarohydroxamate,No ATC Code
9-(2-Deoxy-Beta-D-Ribofuranosyl)-6-Methylpurine,No ATC Code
2-Cyclopropylmethylenepropanal,No ATC Code
"4-((3r,4s,5r)-4-Amino-3,5-Dihydroxy-Hex-1-Ynyl)-5-Fluoro-3-[1-(3-Methoxy-1h-Pyrrol-2-Yl)-Meth-(Z)-Ylidene]-1,3-Dihydro-Indol-2-One",No ATC Code
Pantothenoylaminoethenethiol,No ATC Code
3-Hydroxyimino Quinic Acid,No ATC Code
N-acetyl-alpha-D-glucosamine,No ATC Code
2-Methylbutanoic Acid,No ATC Code
Compound 4-D,No ATC Code
"Cp403700, (S)-1-{2-[(5-Chloro-1h-Indole-2-Carbonyl)-Amino]-3-Phenyl-Propionyl}-Azetidine-3-Carboxylate",No ATC Code
Arabinose-5-phosphate,No ATC Code
"3-Amino-4,5-Dihydroxy-Cyclohex-1-Enecarboxylate",No ATC Code
N-Acetyl-glucosamine thiazoline,No ATC Code
Methyl-[4-(4-Piperidine-1-Ylmethyl-Phenyl)-Cyclohexyl]-Carbaminic Acid-(4-Chlorophenyl)-Ester,No ATC Code
"4-(1h-Imidazol-4-Yl)-3-(5-Ethyl-2,4-Dihydroxy-Phenyl)-1h-Pyrazole",No ATC Code
Isovaleric Acid,No ATC Code
2'deoxy-Thymidine-5'-Diphospho-Alpha-D-Glucose,No ATC Code
P-(2'-Iodo-5'-Thenoyl)Hydrotropic Acid,No ATC Code
Flurbiprofen Methyl Ester,No ATC Code
Tromethamine,"B05XX02, B05BB03"
"Adenosine-5'-[Beta, Gamma-Methylene]Tetraphosphate",No ATC Code
Doconexent,No ATC Code
N-{[(2-Methyl-2-propanyl)oxy]carbonyl}-L-alanyl-L-alaninamide,No ATC Code
Radicicol,No ATC Code
FG-9041,No ATC Code
Dihydrolipoic Acid,No ATC Code
5-fluoro-2'-deoxyuridine-5'-monophosphate,No ATC Code
5-methyl-2'-deoxypseudouridine,No ATC Code
4-Hydroperoxy-2-Methoxy-Phenol,No ATC Code
2'-cytidylic acid,No ATC Code
Propanoic acid,S01AX10
Morpholine-4-Carboxylic Acid [1s-(2-Benzyloxy-1r-Cyano-Ethylcarbamoyl)-3-Methyl-Butyl]Amide,No ATC Code
"N-[2-Hydroxy-2-(8-Isopropyl-6,9-Dioxo-2-Oxa-7,10-Diaza-Bicyclo[11.2.2]Heptadeca-1(16),13(17),14-Trien-11-Yl)-Ethyl]-N-(3-Methyl-Butyl)-Benzenesulfonamide,Inhibitor 3",No ATC Code
D-Eritadenine,No ATC Code
N-hydroxyguanidine,No ATC Code
Allyl-{4-[3-(4-Bromo-Phenyl)-Benzofuran-6-Yloxy]-but-2-Enyl}-Methyl-Amine,No ATC Code
"2-Hexyloxy-6-Hydroxymethyl-Tetrahydro-Pyran-3,5-Diol",No ATC Code
alpha-D-quinovopyranose,No ATC Code
Glutamyl Group,No ATC Code
Dethiobiotin,No ATC Code
Lactaldehyde,No ATC Code
Bisindolylmaleimide I,No ATC Code
Glucosaminyl-(Alpha-6)-D-Myo-Inositol,No ATC Code
2-Aminoquinazolin-4(3h)-One,No ATC Code
"2-[4-(2,4-Dichlorophenoxy)Phenoxy]Propanoic Acid",No ATC Code
N-(1-adamantyl)-N'-(4-guanidinobenzyl)urea,No ATC Code
Phenacetin,"N02BE73, N02BE03, N02BE53"
Elaidamide,No ATC Code
Mevinolinic acid,No ATC Code
"(5-Hydroxy-6-methyl-4-{[(E)-(3-oxo-1,2-oxazolidin-4-ylidene)amino]methyl}-3-pyridinyl)methyl dihydrogen phosphate",No ATC Code
GC-24,No ATC Code
"2,3-Dimethylimidazolium Ion",No ATC Code
L-methionine sulfone,No ATC Code
GW-3965,No ATC Code
5-Aminouracil,No ATC Code
Benzoic acid,"A16AX30, A16AX11, V04CG30"
Trifluoroalanine,No ATC Code
2-Dehydropantoate,No ATC Code
Palmitic Acid,No ATC Code
3-Aminomethyl-Pyridinium-Adenine-Dinucleotide,No ATC Code
2'-Deoxycytidine-5'-Monophosphate,No ATC Code
Trifluoromethionine,No ATC Code
Deoxyuridine monophosphate,No ATC Code
Lysine Nz-Carboxylic Acid,No ATC Code
"1-[4-(Octahydro-Pyrido[1,2-a]Pyrazin-2-Yl)-Phenyl]-2-Phenyl-1,2,3,4-Tetrahydro-Isoquinolin-6-Ol",No ATC Code
"N,N-[2,5-O-dibenzyl-glucaryl]-DI-[valinyl-aminomethanyl-pyridine]",No ATC Code
5-Bromothienyldeoxyuridine,No ATC Code
"1-(2-Chlorophenyl)-3,5-Dimethyl-1h-Pyrazole-4-Carboxylic Acid Ethyl Ester",No ATC Code
Hexamidine,"S03AA05, D08AC04, R02AA18, R01AX07, S01AX08"
9-Butyl-8-(3-Methoxybenzyl)-9h-Purin-6-Amine,No ATC Code
3-Methylglutamic acid,No ATC Code
Histidinol,No ATC Code
"3-{2,6,8-trioxo-9-[(2S,3R,4R)-2,3,4,5-tetrahydroxypentyl]-1,2,3,6,8,9-hexahydro-7H-purin-7-Yl}propyl dihydrogen phosphate",No ATC Code
2-Decenoyl N-acetyl cysteamine,No ATC Code
2-(N-morpholino)ethanesulfonic acid,No ATC Code
Fucitol,No ATC Code
Difluoromethionine,No ATC Code
"L-2,4-diaminobutyric acid",No ATC Code
N-[Tosyl-D-Prolinyl]Amino-Ethanethiol,No ATC Code
Salicylhydroxamic Acid,No ATC Code
"(2S,5R,6R)-6-({(6S)-6-[(Ammonioacetyl)amino]-6-carboxylatohexanoyl}amino)-3,3-dimethyl-7-oxo-4-thia-1-azabicyclo[3.2.0]heptane-2-carboxylate",No ATC Code
2-Amino-3-Hydroxy-3-Phosphonooxy-Propionic Acid,No ATC Code
Ethyl dihydrogen phosphate,No ATC Code
Epigallocatechin,No ATC Code
"7-Iodo-1,2,3,4-Tetrahydro-Isoquinoline",No ATC Code
Rhodamine 6G,No ATC Code
"5,6-Diaminouracil",No ATC Code
"(3s)-3,4-Di-N-Hexanoyloxybutyl-1-Phosphocholine",No ATC Code
RU78299,No ATC Code
Pseudouridine-5'-Monophosphate,No ATC Code
Phosphorylated Dihydropteroate,No ATC Code
"[(Z)-octadec-9-enyl] (2R)-2,3-bis(oxidanyl)propanoate",No ATC Code
"3-Carboxy-N,N,N-Trimethyl-2-(Octanoyloxy)Propan-1-Aminium",No ATC Code
"2-Prolyl-5-Tert-Butyl-[1,3,4]Oxadiazole",No ATC Code
"(3S)-3-(dioxidosulfanyl)-N-[(1Z)-3-oxoprop-1-en-1-yl]-4-(1H-1,2,3-triazol-1-yl)-D-valine",No ATC Code
"N-[(5S,7R,8S,9S,10R)-8,9,10-Trihydroxy-7-(hydroxymethyl)-2,4-dioxo-6-oxa-1,3-diazaspiro[4.5]dec-3-yl]acetamide",No ATC Code
"1,3,5-trichlorobenzene",No ATC Code
Morpholine-4-Carboxylic Acid (1-(3-Benzenesulfonyl-1-Phenethylallylcarbamoyl)-3-Methylbutyl)-Amide,No ATC Code
D-Tyrosine,No ATC Code
Tetra(Imidazole)Diaquacopper (Ii),No ATC Code
Niraxostat,No ATC Code
2-Chloro-6-Methyl-Aniline,No ATC Code
Formaldehyde,No ATC Code
"N-(2,6-Diflouro-Benzyl)-4-Sulfamoyl-Benzamide",No ATC Code
P1-(5'-Adenosyl)P5-(5'-(3'azido-3'-Deoxythymidyl))Pentaphosphate,No ATC Code
2'-deoxy-5-(hydroxymethyl)uridine 5'-(dihydrogen phosphate),No ATC Code
gamma-carboxy-L-glutamic acid,No ATC Code
Benzenesulfinic acid,No ATC Code
Cilomilast,No ATC Code
Jaspisamide A,No ATC Code
Carbazole Butanoic Acid,No ATC Code
Eucalyptol,R05CA13
Reactive Red 6 hapten,No ATC Code
Cadaverine,No ATC Code
L-Threonohydroxamate 4-Phosphate,No ATC Code
L-Eflornithine,No ATC Code
"1,4-dithio-beta-D-glucopyranose",No ATC Code
S-Acetonylcysteine,No ATC Code
1-thio-beta-D-glucopyranose,No ATC Code
ICI-164384,No ATC Code
"(2R,3R,4S,5R)-2-acetamido-3,4-dihydroxy-5-hydroxymethyl-piperidine",No ATC Code
Tetrahydrooxazine,No ATC Code
2-O-Methyl-beta-L-fucopyranose,No ATC Code
Monothioglycerol,No ATC Code
6-Chloro-2-(2-Hydroxy-Biphenyl-3-Yl)-1h-Indole-5-Carboxamidine,No ATC Code
Prostaglandin G2,No ATC Code
3-nitro-L-tyrosine,No ATC Code
3-Dehydroquinic Acid,No ATC Code
5'-O-(L-Serylsulfamoyl)adenosine,No ATC Code
"Ara-Alpha(1,3)-Xyl",No ATC Code
"lambda-bis(2,2'-bipyridine)imidazole ruthenium (II)",No ATC Code
"2,3-Dideoxyfucose",No ATC Code
"(4e,8e,12z,16z)-N,N,4,8,13,17,21-Heptamethyldocosa-4,8,12,16,20-Pentaen-1-Amine",No ATC Code
"Thieno[2,3-B]Pyridine-2-Carboxamidine",No ATC Code
AL-4623,No ATC Code
N-[4-Methyl-3-[[4-(3-Pyridinyl)-2-Pyrimidinyl]Amino]Phenyl]-3-Pyridinecarboxamide,No ATC Code
alpha-L-methyl-fucose,No ATC Code
Batimastat,No ATC Code
"(2S,3R,4S,5S)-3,4-Dihydroxy-2-[(methylsulfanyl)methyl]-5-(4-oxo-4,5-dihydro-1H-pyrrolo[3,2-d]pyrimidin-7-yl)pyrrolidinium",No ATC Code
"5-Alpha-Androstane-3-Beta,17beta-Diol",No ATC Code
Carboxyethyllumazine,No ATC Code
Phenylpyruvic acid,No ATC Code
L-gamma-glutamyl-S-(naphthalen-1-ylmethyl)-L-cysteinylglycine,No ATC Code
Biopterin,No ATC Code
Alpha-Adenosine Monophosphate,No ATC Code
N-Allyl-6-{[3-(4-bromophenyl)-1-methyl-1H-indazol-6-yl]oxy}-N-methyl-1-hexanamine,No ATC Code
S-(N-hydroxy-N-bromophenylcarbamoyl)glutathione,No ATC Code
N-[2-(1-Formyl-2-Methyl-Propyl)-1-(4-Piperidin-1-Yl-but-2-Enoyl)-Pyrrolidin-3-Yl]-Methanesulfonamide,No ATC Code
"Dibenzyl (carbonylbis{2,1-hydrazinediyl[(2S)-4-methyl-1-oxo-1,2-pentanediyl]})biscarbamate",No ATC Code
5-N-Allyl-arginine,No ATC Code
Thionicotinamide-Adenine-Dinucleotide,No ATC Code
N-Propargyl-1(S)-Aminoindan,No ATC Code
Malachite Green,No ATC Code
Triphosphoric acid,No ATC Code
Phloretic acid,No ATC Code
3-Chloro-4-Hydroxyphenylglycine,No ATC Code
9-Butyl-8-(4-Methoxybenzyl)-9h-Purin-6-Amine,No ATC Code
tert-butanol,No ATC Code
5-Oxoprolinal,No ATC Code
Oxalic Acid,No ATC Code
Tmr,No ATC Code
Urea,"D02AE01, B05BC02, D02AE51"
Succinamide-CoA,No ATC Code
2-Phenylheme,No ATC Code
"N-[(E)-3-[(2R,3S,4R,5R)-5-(6-Aminopurin-9-yl)-3,4-dihydroxyoxolan-2-yl]prop-2-enyl]-2,3-dihydroxy-5-nitrobenzamide",No ATC Code
"N,N-[2,5-O-[Dibenzyl]-glucaryl]-DI-[isoleucyl-amido-methane]",No ATC Code
"Adenosine-5'-[Beta, Gamma-Methylene]Triphosphate",No ATC Code
"S,S'-(1,3-Phenylene-Bis(1,2-Ethanediyl))Bis-Isothiourea",No ATC Code
L-Xylopyranose,No ATC Code
D-pantetheine 4'-phosphate,No ATC Code
Coenzyme F420,No ATC Code
"[2-(1-amino-2-hydroxy-propyl)-4-(1H-indol-3-ylmethylene)-5-oxo-4,5-dihydro-imidazol-1-yl]-acetaldehyde",No ATC Code
2-Amino-3-Ketobutyric Acid,No ATC Code
4-{2-[4-(2-Aminoethyl)Piperazin-1-Yl]Pyridin-4-Yl}-N-(3-Chloro-4-Methylphenyl)Pyrimidin-2-Amine,No ATC Code
N-Ethylretinamide,No ATC Code
"6S-5,6,7,8-Tetrahydrobiopterin",No ATC Code
Ethyl-Carbamic Acid Methyl Ester,No ATC Code
N-Methyl-Alpha-Beta-Dehydroalanine,No ATC Code
4-(3-Pyridin-2-Yl-1h-Pyrazol-4-Yl)Quinoline,No ATC Code
Feruloyl Coenzyme A,No ATC Code
"5,8-Di-Amino-1,4-Dihydroxy-Anthraquinone",No ATC Code
Freselestat,No ATC Code
"5alpha-androstane-3beta,17alpha-diol",No ATC Code
Glycyl-L-alpha-amino-epsilon-pimelyl-D-alanine,No ATC Code
"Carboxymethylthio-3-(3-Chlorophenyl)-1,2,4-Oxadiazol",No ATC Code
D-Serine,No ATC Code
4-Methyl-Pyrroline-5-Carboxylic Acid,No ATC Code
Diguanosine-5'-Triphosphate,No ATC Code
LFA703,No ATC Code
C-1027 Aromatized chromophore,No ATC Code
Zinc protoporphyrin,No ATC Code
"1,4-Dideoxy-O2-Sulfo-Glucuronic Acid",No ATC Code
1-Deoxy-Ribofuranose-5'-Phosphate,No ATC Code
D-erythrose 4-phosphate,No ATC Code
Deacetoxycephalosporin C,No ATC Code
"(4S)-4-hydroxy-3,4-dihydro-2(1H)-pyrimidinone",No ATC Code
Oxamic Acid,No ATC Code
p-Heptylphenol,No ATC Code
Carboxylic PRPP,No ATC Code
D-Asparagine,No ATC Code
"5-[1-(3,4-Dimethoxy-Benzoyl)-1,2,3,4-Tetrahydro-Quinolin-6-Yl]-6-Methyl-3,6-Dihydro-[1,3,4]Thiadiazin-2-One",No ATC Code
"N,N,N-Trimethyl-2-(phosphonooxy)ethanaminium",No ATC Code
"3,4-Dihydroxybenzoic Acid",No ATC Code
D-Xylulose,No ATC Code
"6-Chloropurine Riboside, 5'-Monophosphate",No ATC Code
N-[(2S)-3-Phenyl-2-sulfanylpropanoyl]-L-phenylalanyl-L-tyrosine,No ATC Code
(S)-N-(3-Indol-1-Yl-2-Methyl-Propyl)-4-Sulfamoyl-Benzamide,No ATC Code
N-acetyl-D-glucosamine-6-phosphate,No ATC Code
9-(6-deoxy-beta-D-allofuranosyl)-6-methylpurine,No ATC Code
Thiocitrulline,No ATC Code
1-deoxymannojirimycin,No ATC Code
"Inositol 2,4,5-trisphosphate",No ATC Code
SP2456,No ATC Code
7-methyl-guanosine-5'-triphosphate-5'-guanosine,No ATC Code
"N,O6-Disulfo-Glucosamine",No ATC Code
Cp-Coeleneterazine,No ATC Code
"2c-Methyl-D-Erythritol 2,4-Cyclodiphosphate",No ATC Code
Nicotinamide 8-bromo-adenine dinucleotide phosphate,No ATC Code
S-(Dimethylarsenic)Cysteine,No ATC Code
4-Hydroxy-Aconitate Ion,No ATC Code
Clorobiocin,No ATC Code
Dodecyl sulfate,No ATC Code
"1-Methyl-2-Oxy-5,5-Dimethyl Pyrrolidine",No ATC Code
"(7R)-7-(6,7-Dihydro-5H-cyclopenta[d]imidazo[2,1-b][1,3]thiazol-2-yl)-2,7-dihydro-1,4-thiazepine-3,6-dicarboxylic acid",No ATC Code
Acarbose Derived Hexasaccharide,No ATC Code
"2-Amino-4h-1,3-Benzoxathiin-4-Ol",No ATC Code
"3-[2,6,8-Trioxo-9-[(2R,3R,4R)-2,3,4,5-tetrahydroxypentyl]-3H-purin-7-yl]propyl dihydrogen phosphate",No ATC Code
L-homoarginine,No ATC Code
Mercuribenzoic Acid,No ATC Code
Phosphorylisopropane,No ATC Code
Trimethyllysine,No ATC Code
Tyrosinal,No ATC Code
1-[Glycerolylphosphonyl]-2-[8-(2-Hexyl-Cyclopropyl)-Octanal-1-Yl]-3-[Hexadecanal-1-Yl]-Glycerol,No ATC Code
4-(Fluorophenyl)-1-Cyclopropylmethyl-5-(2-Amino-4-Pyrimidinyl)Imidazole,No ATC Code
"1,4-Dideoxy-5-Dehydro-O2-Sulfo-Glucuronic Acid",No ATC Code
"Compound 5, 2-(Naphthalen-1-Yl-Oxalyl-Amino)-Benzoicacid",No ATC Code
