Drug,DrugBank ID,ATC Codes,Pathways
4-Carbamoyl-1-Beta-D-Ribofuranosyl-Imidazolium-5-Olate-5'-Phosphate,DB01945,No ATC Code,No Pathways
Bisindolylmaleimide VIII,DB01946,No ATC Code,No Pathways
RU78262,DB01947,No ATC Code,No Pathways
"1-(2,6-Dichlorophenyl)-5-(2,4-Difluorophenyl)-7-Piperidin-4-Yl-3,4-Dihydroquinolin-2(1h)-One",DB01948,No ATC Code,No Pathways
"2-Amino-N,3,3-Trimethylbutanamide",DB01949,No ATC Code,No Pathways
AR-AO-14418,DB01950,No ATC Code,No Pathways
Gpi-1046,DB01951,No ATC Code,No Pathways
"1,N6-Ethenoadenine",DB01952,No ATC Code,No Pathways
Inhibitor of P38 Kinase,DB01953,No ATC Code,No Pathways
Rolipram,DB01954,No ATC Code,No Pathways
"1,4-Butanediol",DB01955,No ATC Code,No Pathways
Taurine,DB01956,No ATC Code,"Zellweger Syndrome, Taurine and Hypotaurine Metabolism, Congenital Bile Acid Synthesis Defect Type II, 27-Hydroxylase Deficiency, Bile Acid Biosynthesis, Cerebrotendinous Xanthomatosis (CTX), Familial Hypercholanemia (FHCA), Congenital Bile Acid Synthesis Defect Type III"
3-Chlorophenol,DB01957,No ATC Code,No Pathways
"5-[4-Tert-Butylphenylsulfanyl]-2,4-Quinazolinediamine",DB01958,No ATC Code,No Pathways
"3,5-Dimethyl-1-(3-Nitrophenyl)-1h-Pyrazole-4-Carboxylic Acid Ethyl Ester",DB01959,No ATC Code,No Pathways
"7-methyl-7,8-dihydroguanosine-5'-diphosphate",DB01960,No ATC Code,No Pathways
Cytidine 3'-monophosphate,DB01961,No ATC Code,No Pathways
Phosphonotyrosine,DB01962,No ATC Code,No Pathways
Phenylethane Boronic Acid,DB01963,No ATC Code,No Pathways
AL5424,DB01964,No ATC Code,No Pathways
"2'-Deoxyuridine 5'-alpha,beta-imido-triphosphate",DB01965,No ATC Code,No Pathways
Di-Stearoyl-3-Sn-Phosphatidylethanolamine,DB01966,No ATC Code,No Pathways
"N-{3-[(7ar,12as,12bs)-7-Oxo-1,3,4,6,7,7a,12a,12b-Octahydroindolo[2,3-a]Quinolizin-12(2h)-Yl]Propyl}Propane-2-Sulfonamide",DB01967,No ATC Code,No Pathways
2-Thioethenamine,DB01968,No ATC Code,No Pathways
Trifluoroacetonyl coenzyme A,DB01969,No ATC Code,No Pathways
"Hg9a-9, Nonanoyl-N-Hydroxyethylglucamide",DB01970,No ATC Code,No Pathways
trans-urocanic acid,DB01971,No ATC Code,"Ammonia Recycling, Histidine Metabolism, Histidinemia"
Guanosine-5'-Monophosphate,DB01972,No ATC Code,"Purine Metabolism, Glutamate Metabolism, Purine Nucleoside Phosphorylase Deficiency, Clarithromycin Action Pathway, Roxithromycin Action Pathway, Gentamicin Action Pathway, Oxytetracycline Action Pathway, Tetracycline Action Pathway, Hyperinsulinism-Hyperammonemia Syndrome, Lesch-Nyhan Syndrome (LNS), Gout or Kelley-Seegmiller Syndrome, Mercaptopurine Action Pathway, Adenine Phosphoribosyltransferase Deficiency (APRT), Arbekacin Action Pathway, Troleandomycin Action Pathway, Josamycin Action Pathway, Adenylosuccinate Lyase Deficiency, Xanthine Dehydrogenase Deficiency (Xanthinuria), Azithromycin Action Pathway, Clindamycin Action Pathway, Erythromycin Action Pathway, Kanamycin Action Pathway, Neomycin Action Pathway, Netilmicin Action Pathway, Streptomycin Action Pathway, Clomocycline Action Pathway, Homocarnosinosis, Xanthinuria Type I, Mitochondrial DNA Depletion Syndrome, Myoadenylate Deaminase Deficiency"
O-Benzylsulfonyl-Serine,DB01973,No ATC Code,No Pathways
"2-Amino-3-[5-(Amino-Carboxy-Methyl)-2,3-Dihydro-Isoxazol-3-Ylsulfanyl]-Propionic Acid",DB01974,No ATC Code,No Pathways
AMPCPR,DB01975,No ATC Code,No Pathways
Aminoanthracene,DB01976,No ATC Code,No Pathways
6-(N-Phenylcarbamyl)-2-Naphthalenecarboxamidine,DB01977,No ATC Code,No Pathways
"7,9-Dimethylguanine",DB01978,No ATC Code,No Pathways
Methyl alpha-D-mannoside,DB01979,No ATC Code,No Pathways
Para-Iodo-D-Phenylalanine Hydroxamic Acid,DB01980,No ATC Code,No Pathways
"3,6-Anhydro-2-(hydrogen sulfate)-alpha-D-galactopyranose",DB01981,No ATC Code,No Pathways
D-Mannuronic Acid,DB01982,No ATC Code,No Pathways
2(S)-Amino-6-Boronohexanoic Acid,DB01983,No ATC Code,No Pathways
(4S)-5-[[(1S)-1-Carboxy-2-cyclohexylethyl]amino]-4-[[(2S)-2-[[(3R)-4-cyclohexyl-2-oxo-3-(phenylmethoxycarbonylamino)butanoyl]amino]-5-(diaminomethylideneamino)pentanoyl]amino]-5-oxopentanoic acid,DB01984,No ATC Code,No Pathways
N-acetyl-L-arginine,DB01985,No ATC Code,No Pathways
3-Fluoro-2-Methyl-Aniline,DB01986,No ATC Code,No Pathways
Cocarboxylase,DB01987,No ATC Code,No Pathways
6((S)-3-Benzylpiperazin-1-Yl)-3-(Naphthalen-2-Yl)-4-(Pyridin-4-Yl)Pyrazine,DB01988,No ATC Code,No Pathways
Methyl N-{[(1R)-1-({1-[(benzyloxy)carbonyl]-L-prolyl-6-ammonio-L-norleucyl}amino)-2-phenylethyl](hydroxy)phosphoryl}-L-alanyl-L-prolinate,DB01989,No ATC Code,No Pathways
Cholesterol sulfate,DB01990,No ATC Code,No Pathways
TU-514,DB01991,No ATC Code,No Pathways
Coenzyme A,DB01992,No ATC Code,No Pathways
N-(5'-Phosphopyridoxyl)-D-Alanine,DB01993,No ATC Code,No Pathways
"2-(Pyrido[1,2-E]Purin-4-Yl)Amino-Ethanol",DB01994,No ATC Code,No Pathways
5-methylcytidine 5'-monophosphate,DB01995,No ATC Code,No Pathways
3-Methylpyridine,DB01996,No ATC Code,No Pathways
3-Bromo-7-Nitroindazole,DB01997,No ATC Code,No Pathways
"2-[3,4-Dihydroxy-2-Hydroxymethyl-5-(2-Hydroxy-Nonyl)-Tetrahydro-Furan-2-Yloxy]-6-Hydroxymethyl-Tetra Hydro-Pyran-3,4,5-Triol",DB01998,No ATC Code,No Pathways
"5,10,15,20-Tetrakis(4-Sulpfonatophenyl)-21h,23h-Porphine",DB01999,No ATC Code,No Pathways
"5-(4-Morpholin-4-Yl-Phenylsulfanyl)-2,4-Quinazolinediamine",DB02001,No ATC Code,No Pathways
2-Aminoprop-2-Enamide,DB02002,No ATC Code,No Pathways
"5-(Aminomethyl)-6-(2,4-Dichlorophenyl)-2-(3,5-Dimethoxyphenyl)Pyrimidin-4-Amine",DB02004,No ATC Code,No Pathways
2-Oxo-3-Pentenoic Acid,DB02005,No ATC Code,No Pathways
Br-Coeleneterazine,DB02006,No ATC Code,No Pathways
alpha-D-glucose 6-phosphate,DB02007,No ATC Code,No Pathways
1-(2-Fluorobenzyl)-3-Butyl-8-(N-Acetyl-4-Aminobenzyl)-Xanthine,DB02008,No ATC Code,No Pathways
L-756423,DB02009,No ATC Code,No Pathways
Staurosporine,DB02010,No ATC Code,No Pathways
N-(Phosphonoacetyl)-L-Ornithine,DB02011,No ATC Code,No Pathways
Iron azide hydrate,DB02013,No ATC Code,No Pathways
"5-(2-Fluoro-5-{(1E)-3-[3-hydroxy-2-(methoxycarbonyl)phenoxy]-1-propen-1-yl}phenyl)-1,2-oxazole-3-carboxylic acid",DB02014,No ATC Code,No Pathways
Dihydrofolic Acid,DB02015,No ATC Code,No Pathways
R048-8071,DB02016,No ATC Code,No Pathways
Imidazole-Derived Cellobiose,DB02017,No ATC Code,No Pathways
Amido Phenyl Pyruvic Acid,DB02018,No ATC Code,No Pathways
Acetyl Dithranol,DB02019,No ATC Code,No Pathways
Alrestatin,DB02020,No ATC Code,No Pathways
Fidarestat,DB02021,No ATC Code,No Pathways
4-Amino-5-Hydroxymethyl-2-Methylpyrimidine,DB02022,No ATC Code,No Pathways
8-oxo-dGMP,DB02023,No ATC Code,No Pathways
3-phenylpropionic acid,DB02024,No ATC Code,No Pathways
ACV tripeptide,DB02025,No ATC Code,No Pathways
"Furo[2,3d]Pyrimidine Antifolate",DB02026,No ATC Code,No Pathways
N-{(4S)-4-Amino-5-[(2-aminoethyl)amino]pentyl}-N'-nitroguanidine,DB02027,No ATC Code,No Pathways
"(1R,2R,3S,4R,6S)-3,4,6-Trihydroxy-5-{[(S)-hydroxy(3-hydroxy-2-oxopropoxy)phosphoryl]oxy}-1,2-cyclohexanediyl bis[dihydrogen (phosphate)]",DB02028,No ATC Code,No Pathways
N-Cyclohexyl-N'-(4-Iodophenyl)Urea,DB02029,No ATC Code,No Pathways
Alpha-Ribazole-5'-Phosphate,DB02030,No ATC Code,No Pathways
"(6S)-5,6,7,8-tetrahydrofolic acid",DB02031,No ATC Code,No Pathways
Epicaptopril,DB02032,No ATC Code,No Pathways
"N-(3-Cyclopropyl(5,6,7,8,9,10-Hexahydro-2-Oxo-2h-Cycloocta[B]Pyran-3-Yl)Methyl)Phenylbenzensulfonamide",DB02033,No ATC Code,No Pathways
Tridolgosir,DB02034,No ATC Code,No Pathways
Hexadecanesulfonyl fluoride,DB02035,No ATC Code,No Pathways
"2-(3,4-Dihydro-3-Oxo-2h-Benzo[B][1,4]Thiazin-2-Yl)-N-Hydroxyacetamide",DB02036,No ATC Code,No Pathways
"2,5-Diaminopyrimidin-4,6-diol",DB02037,No ATC Code,No Pathways
"D-[3-hydroxy-2-methyl-5-phosphonooxymethyl-pyridin-4-ylmethyl]-N,O-cycloserylamide",DB02038,No ATC Code,No Pathways
S-Acetyl-Cysteine,DB02039,No ATC Code,No Pathways
Isoluminol,DB02041,No ATC Code,No Pathways
2-(2-{2-[2-(2-Methoxy-Ethoxy)-Ethoxy]-Ethoxy}-Ethoxy)-Ethanol,DB02042,No ATC Code,No Pathways
"1,2-Dipalmitoyl-Phosphatidyl-Glycerole",DB02043,No ATC Code,No Pathways
N-[3-(aminomethyl)benzyl]acetamidine,DB02044,No ATC Code,No Pathways
Amylamine,DB02045,No ATC Code,No Pathways
N-[(Furan-2-Yl)Carbonyl]-(S)-Leucyl-(R)-[1-Amino-2(1h-Indol-3-Yl)Ethyl]-Phosphonic Acid,DB02046,No ATC Code,No Pathways
(+)-2-(4-biphenyl)propionic acid,DB02047,No ATC Code,No Pathways
"1,2,4-Triazole-Carboxamidine",DB02048,No ATC Code,No Pathways
2-{4-[4-(4-Chloro-Phenoxy)-Benzenesulfonyl]-Tetrahydro-Pyran-4-Yl}-N-Hydroxy-Acetamide,DB02049,No ATC Code,No Pathways
4-Nitrophenyl (3S)-3-({N-[(benzyloxy)carbonyl]-L-phenylalanyl}amino)-5-phenyl-1-pentanesulfonate,DB02051,No ATC Code,No Pathways
Indirubin-3'-monoxime,DB02052,No ATC Code,No Pathways
Ribose-5-phosphate,DB02053,No ATC Code,No Pathways
Gabaculine,DB02054,No ATC Code,No Pathways
N-Butyl-Benzenesulfonamide,DB02055,No ATC Code,No Pathways
Prostaglandin D2,DB02056,No ATC Code,"Piroxicam Action Pathway, Rofecoxib Action Pathway, Diclofenac Action Pathway, Sulindac Action Pathway, Nabumetone Action Pathway, Valdecoxib Action Pathway, Antipyrine Action Pathway, Flurbiprofen Action Pathway, Nepafenac Action Pathway, Etodolac Action Pathway, Ketoprofen Action Pathway, Ibuprofen Action Pathway, Celecoxib Action Pathway, Suprofen Action Pathway, Indomethacin Action Pathway, Diflunisal Action Pathway, Leukotriene C4 Synthesis Deficiency, Antrafenine Action Pathway, Fenoprofen Action Pathway, Magnesium Salicylate Action Pathway, Lornoxicam Action Pathway, Trisalicylate-Choline Action Pathway, Tolmetin Action Pathway, Tiaprofenic Acid Action Pathway, Tenoxicam Action Pathway, Salicylic Acid Action Pathway, Arachidonic Acid Metabolism, Acetylsalicylic Acid Action Pathway, Ketorolac Action Pathway, Bromfenac Action Pathway"
(S)-AMPA,DB02057,No ATC Code,No Pathways
3-[4-(1-formylpiperazin-4-yl)-benzylidenyl]-2-indolinone,DB02058,No ATC Code,No Pathways
Adenosine-5-Diphosphoribose,DB02059,No ATC Code,No Pathways
Cyclohexanone,DB02060,No ATC Code,No Pathways
Cellobiose,DB02061,No ATC Code,No Pathways
"N-[3-[(1-Aminoethyl)(Hydroxy)Phosphoryl]-2-(1,1'-Biphenyl-4-Ylmethyl)Propanoyl]Alanine",DB02062,No ATC Code,No Pathways
CRA_16847,DB02063,No ATC Code,No Pathways
4-Deoxylactose,DB02065,No ATC Code,No Pathways
N7-Methyl-Formycin A,DB02066,No ATC Code,No Pathways
Triglu-5-formyl-tetrahydrofolate,DB02067,No ATC Code,No Pathways
Delta-Amino Valeric Acid,DB02068,No ATC Code,No Pathways
N-(2-Flouro-Benzyl)-4-Sulfamoyl-Benzamide,DB02069,No ATC Code,No Pathways
Kynurenine,DB02070,No ATC Code,Tryptophan Metabolism
WAY-151693,DB02071,No ATC Code,No Pathways
"2-(Oxalyl-Amino)-4,7-Dihydro-5h-Thieno[2,3-C]Thiopyran-3-Carboxylic Acid",DB02072,No ATC Code,No Pathways
Biliverdine IX Alpha,DB02073,No ATC Code,No Pathways
Butenoic Acid,DB02074,No ATC Code,Fatty Acid Biosynthesis
"[(2R,3R,4S,5S)-3,4-Dihydroxy-5-(4-oxo-4,5-dihydro-1H-pyrrolo[3,2-d]pyrimidin-7-yl)-2-pyrrolidinyl]methyl dihydrogen phosphate",DB02075,No ATC Code,No Pathways
6-phospho-D-gluconic acid,DB02076,No ATC Code,No Pathways
L-N(omega)-nitroarginine-(4R)-amino-L-proline amide,DB02077,No ATC Code,No Pathways
Triglyme,DB02078,No ATC Code,No Pathways
Aminooxyacetic acid,DB02079,No ATC Code,No Pathways
"1-{2-[2-(2-Methoxyethoxy)Ethoxy]Ethoxy}-4-(1,1,3,3-Tetramethylbutyl)Benzene",DB02080,No ATC Code,No Pathways
Bis-Benzamidine,DB02081,No ATC Code,No Pathways
Phosphoaminophosphonic acid guanylate ester,DB02082,No ATC Code,No Pathways
"N,N-dimethylglycine",DB02083,No ATC Code,"Glycine and Serine Metabolism, Betaine Metabolism, Cystathionine beta-Synthase Deficiency, Sarcosine Oncometabolite Pathway, Methionine Metabolism, Methionine Adenosyltransferase Deficiency, Non-Ketotic Hyperglycinemia, Sarcosinemia, Dihydropyrimidine Dehydrogenase Deficiency (DHPD), S-Adenosylhomocysteine (SAH) Hydrolase Deficiency, Glycine N-Methyltransferase Deficiency, Dimethylglycine Dehydrogenase Deficiency, Methylenetetrahydrofolate Reductase Deficiency (MTHFRD), Hypermethioninemia, Dimethylglycine Dehydrogenase Deficiency, Hyperglycinemia, Non-Ketotic, Homocystinuria-Megaloblastic Anemia Due to Defect in Cobalamin Metabolism, cblG Complementation Type, 3-Phosphoglycerate Dehydrogenase Deficiency"
CRA_17312,DB02084,No ATC Code,No Pathways
1-Aminocyclopropanecarboxylic Acid,DB02085,No ATC Code,No Pathways
"(3,4-Dihydroxy-Phenyl)-Triphenyl-Arsonium",DB02086,No ATC Code,No Pathways
"3,5-Difluorobenzenesulfonamide",DB02087,No ATC Code,No Pathways
Norleucine Phosphonate,DB02088,No ATC Code,No Pathways
CP-526423,DB02089,No ATC Code,No Pathways
A Disubstituted Succinyl Caprolactam Hydroxymate Mmp3inhibitor,DB02090,No ATC Code,No Pathways
"4-(2,4-Dimethyl-Thiazol-5-Yl)-Pyrimidin-2-Ylamine",DB02091,No ATC Code,No Pathways
Cholesteryl Linoleate,DB02092,No ATC Code,No Pathways
5-phospho-D-arabinohydroxamic acid,DB02093,No ATC Code,No Pathways
N-2-Thiophen-2-Yl-Acetamide Boronic Acid,DB02094,No ATC Code,No Pathways
Isatin,DB02095,No ATC Code,No Pathways
FR221647,DB02096,No ATC Code,No Pathways
Cytidine,DB02097,No ATC Code,No Pathways
Adenosine-2'-5'-Diphosphate,DB02098,No ATC Code,No Pathways
S-azabisabolene,DB02099,No ATC Code,No Pathways
Methyl alpha-galactoside,DB02100,No ATC Code,No Pathways
"(S,R)-fidarestat",DB02101,No ATC Code,No Pathways
Mozenavir,DB02102,No ATC Code,No Pathways
2-Chlorodideoxyadenosine,DB02103,No ATC Code,No Pathways
"2,4-Diamino-5-Methyl-6-[(3,4,5-Trimethoxy-N-Methylanilino)Methyl]Pyrido[2,3-D]Pyrimidine",DB02104,No ATC Code,No Pathways
"3,5-Dinitrocatechol",DB02105,No ATC Code,No Pathways
"[3,5-Dibromo-4-(4-Hydroxy-3-Phenethylcarbamoyl-Phenoxy)-Phenyl]-Acetic Acid",DB02106,No ATC Code,No Pathways
Leucine - Reduced Carbonyl,DB02107,No ATC Code,No Pathways
2-Aminoethanimidic Acid,DB02108,No ATC Code,No Pathways
Hadacidin,DB02109,No ATC Code,No Pathways
Protoporphyrin Ix Containing Co,DB02110,No ATC Code,No Pathways
3-hydroxyisoxazole-4-carboxylic acid,DB02111,No ATC Code,No Pathways
Zk-806450,DB02112,No ATC Code,No Pathways
6-Methylpurine,DB02113,No ATC Code,No Pathways
Cumidine,DB02114,No ATC Code,No Pathways
Daidzin,DB02115,No ATC Code,No Pathways
Olomoucine,DB02116,No ATC Code,No Pathways
CP-271485,DB02118,No ATC Code,No Pathways
"6-Hydroxymethyl-7,8-Dihydropterin",DB02119,No ATC Code,No Pathways
"6-Amino-4-Hydroxymethyl-Cyclohex-4-Ene-1,2,3-Triol",DB02120,No ATC Code,No Pathways
Butyramide,DB02121,No ATC Code,No Pathways
4-iodo-acetamido phenylboronic acid,DB02122,No ATC Code,No Pathways
Glycochenodeoxycholic Acid,DB02123,No ATC Code,No Pathways
"(2s,3s)-Trans-2,3-Dihydro-3-Hydroxyanthranilic Acid",DB02124,No ATC Code,No Pathways
Adamantanone,DB02125,No ATC Code,No Pathways
4-Carboxycinnamic Acid,DB02126,No ATC Code,No Pathways
Diisopropyl methylphosphonate,DB02127,No ATC Code,No Pathways
[1-(3-hydroxy-2-oxo-1-phenethyl-propylcarbamoyl)2-phenyl-ethyl]-carbamic acid pyridin-4-ylmethyl ester,DB02128,No ATC Code,No Pathways
Dihydroorotic Acid,DB02129,No ATC Code,"Pyrimidine Metabolism, MNGIE (Mitochondrial Neurogastrointestinal Encephalopathy), beta-Ureidopropionase Deficiency, Dihydropyrimidinase Deficiency, UMP Synthase Deficiency (Orotic Aciduria)"
Vanillic acid,DB02130,No ATC Code,No Pathways
N-1-methylheptylformamide,DB02131,No ATC Code,No Pathways
Zenarestat,DB02132,No ATC Code,No Pathways
Chlorophyll A,DB02133,No ATC Code,No Pathways
Xanthine,DB02134,No ATC Code,"Adenylosuccinate Lyase Deficiency, Xanthine Dehydrogenase Deficiency (Xanthinuria), Xanthinuria Type I, Mitochondrial DNA Depletion Syndrome, Myoadenylate Deaminase Deficiency, Purine Metabolism, Purine Nucleoside Phosphorylase Deficiency, Lesch-Nyhan Syndrome (LNS), Gout or Kelley-Seegmiller Syndrome, Mercaptopurine Action Pathway, Adenine Phosphoribosyltransferase Deficiency (APRT), Adenosine Deaminase Deficiency, AICA-Ribosiduria, Molybdenum Cofactor Deficiency, Azathioprine Action Pathway, Thioguanine Action Pathway, Xanthinuria Type II"
"1-deoxy-1-{2,6,8-trioxo-7-[4-(phosphonooxy)butyl]-1,2,3,6,7,8-hexahydro-9H-purin-9-yl}-D-arabinitol",DB02135,No ATC Code,No Pathways
Cephalosporin analog,DB02136,No ATC Code,No Pathways
Molybdenum cofactor,DB02137,No ATC Code,No Pathways
Diethyl 4-Methylbenzylphosphonate,DB02138,No ATC Code,No Pathways
(2e)-N-Allyl-4-{[3-(4-Bromophenyl)-5-Fluoro-1-Methyl-1h-Indazol-6-Yl]Oxy}-N-Methyl-2-Buten-1-Amine,DB02139,No ATC Code,No Pathways
N1-(1-Dimethylcarbamoyl-2-Phenyl-Ethyl)-2-Oxo-N4-(2-Pyridin-2-Yl-Ethyl)-Succinamide,DB02140,No ATC Code,No Pathways
"S,S'-(1,4-Phenylene-Bis(1,2-Ethanediyl))Bis-Isothiourea",DB02141,No ATC Code,No Pathways
Pyridoxamine-5'-Phosphate,DB02142,No ATC Code,"Vitamin B6 Metabolism, Hypophosphatasia"
1-hydroxy-2-isopropylguanidine,DB02143,No ATC Code,No Pathways
"1,2-diacyl-sn-glycero-3-phosphoinositol",DB02144,No ATC Code,No Pathways
Butyl alcohol,DB02145,No ATC Code,No Pathways
Glutathione S-atrazine,DB02146,No ATC Code,No Pathways
Cyclo-Tetrametavanadate,DB02147,No ATC Code,No Pathways
3-Amino-4-Oxybenzyl-2-Butanone,DB02148,No ATC Code,No Pathways
Methionine Phosphonate,DB02151,No ATC Code,No Pathways
K-252a,DB02152,No ATC Code,No Pathways
3-sulfino-L-alanine,DB02153,No ATC Code,No Pathways
"2,3-Bis-Benzo[1,3]Dioxol-5-Ylmethyl-Succinic Acid",DB02154,No ATC Code,No Pathways
3-[(3-sec-butyl-4-hydroxybenzoyl)amino]azepan-4-yl 4-(2-hydroxy-5-methoxybenzoyl)benzoate,DB02155,No ATC Code,No Pathways
Sulfopyruvate,DB02156,No ATC Code,No Pathways
"(2S,3S,4R,5S)-2-(4-Amino-4,5-dihydro-1H-pyrrolo[3,2-d]pyrimidin-7-yl)-5-[(methylsulfanyl)methyl]-3,4-pyrrolidinediol",DB02158,No ATC Code,No Pathways
(R)-Propylene glycol,DB02159,No ATC Code,No Pathways
S-Butyryl-Cystein,DB02160,No ATC Code,No Pathways
Hydroxy-Phenyl-Acetic Acid 8-Methyl-8-Aza-Bicyclo[3.2.1]Oct-3-Yl Ester,DB02161,No ATC Code,No Pathways
5'-O-(N-Ethyl-Sulfamoyl)Adenosine,DB02162,No ATC Code,No Pathways
"2,5-Xylidine",DB02163,No ATC Code,No Pathways
N-sulfo-flavin mononucleotide,DB02164,No ATC Code,No Pathways
Zinc trihydroxide,DB02165,No ATC Code,No Pathways
Propidium,DB02166,No ATC Code,No Pathways
"N,N-Dimethyl-L-Alanine",DB02167,No ATC Code,No Pathways
6-bromopurine,DB02168,No ATC Code,No Pathways
"9,10-Deepithio-9,10-Didehydroacanthifolicin",DB02169,No ATC Code,No Pathways
"1,8-Di-Hydroxy-4-Nitro-Xanthen-9-One",DB02170,No ATC Code,No Pathways
"2,5-Dideoxy-2,5-Imino-D-Glucitol",DB02172,No ATC Code,No Pathways
Co(III)-(Deuteroporphyrin IX),DB02173,No ATC Code,No Pathways
D-Glutamine,DB02174,No ATC Code,No Pathways
Malonic acid,DB02175,No ATC Code,Fatty Acid Biosynthesis
Mercury Acetate Ion,DB02176,No ATC Code,No Pathways
1-Acetyl-4-(4-{4-[(2-Ethoxyphenyl)Thio]-3-Nitrophenyl}Pyridin-2-Yl)Piperazine,DB02177,No ATC Code,No Pathways
Phenylacetaldehyde,DB02178,No ATC Code,No Pathways
O-Trifluoromethylphenyl Anthranilic Acid,DB02179,No ATC Code,No Pathways
Myristoyl-Coa,DB02180,No ATC Code,No Pathways
2'-Deoxyguanosine-5'-Triphosphate,DB02181,No ATC Code,No Pathways
Hybrid Between B and C Type Hemes (Protoporphyrin Ixcontaining Fe),DB02182,No ATC Code,No Pathways
Adenosine-5'-ditungstate,DB02183,No ATC Code,No Pathways
"D-1,4-dithiothreitol",DB02184,No ATC Code,No Pathways
"2,4-Dihydroxy-7-(Methyloxy)-2h-1,4-Benzoxazin-3(4h)-One",DB02185,No ATC Code,No Pathways
N-acetyl-beta-D-galactosamine 6-sulfate,DB02186,No ATC Code,No Pathways
Equilin,DB02187,No ATC Code,No Pathways
N-Methylmesoporphyrin containing copper,DB02188,No ATC Code,No Pathways
"2',3'-Dideoxyadenosine triphosphate",DB02189,No ATC Code,Didanosine Action Pathway
(S)-oxalosuccinic acid,DB02190,No ATC Code,No Pathways
"(7as,12ar,12bs)-1,2,3,4,7a,12,12a,12b-Octahydroindolo[2,3-a]Quinolizin-7(6h)-One",DB02191,No ATC Code,No Pathways
Phenylethyl alcohol,DB02192,No ATC Code,No Pathways
"8-Benzyl-2-Hydroxy-2-(4-Hydroxy-Benzyl)-6-(4-Hydroxy-Phenyl)-2h-Imidazo[1,2-a]Pyrazin-3-One",DB02194,No ATC Code,No Pathways
"3-(4-Fluorophenyl)-1-Hydroxy-2-(Pyridin-4-Yl)-1h-Pyrrolo[3,2-B]Pyridine",DB02195,No ATC Code,No Pathways
Uridine-Diphosphate-N-Acetylgalactosamine,DB02196,No ATC Code,No Pathways
"4-[(4-Imidazo[1,2-a]Pyridin-3-Ylpyrimidin-2-Yl)Amino]Benzenesulfonamide",DB02197,No ATC Code,No Pathways
2-Bromoacetyl Group,DB02198,No ATC Code,No Pathways
"1,3-Dedimethyl-1,3-Divinyl Heme",DB02199,No ATC Code,No Pathways
3-[N-[benzyloxycarbonyl]-phenylalaninyl-amino]-5-phenyl-pentane-1-sulfonylmethylbenzene,DB02200,No ATC Code,No Pathways
Malonate Ion,DB02201,No ATC Code,No Pathways
"(S)-butane-1,3-diol",DB02202,No ATC Code,No Pathways
Acetone Cyanohydrin,DB02203,No ATC Code,No Pathways
(+)-Rutamarin alcohol,DB02205,No ATC Code,No Pathways
7-Nitroindazole,DB02207,No ATC Code,No Pathways
Pyridoxine phosphate,DB02209,No ATC Code,"Vitamin B6 Metabolism, Hypophosphatasia"
"Hexane-1,6-Diol",DB02210,No ATC Code,No Pathways
(R)-N-methyl-N-2-propynyl-1-indanamine,DB02211,No ATC Code,No Pathways
Metanitrophenyl-Alpha-D-Galactoside,DB02213,No ATC Code,No Pathways
"6,7-dioxo-5H-8-ribitylaminolumazine",DB02214,No ATC Code,No Pathways
Furoyl-Leucine,DB02215,No ATC Code,No Pathways
S-Methylcysteine,DB02216,No ATC Code,No Pathways
Dpb-T,DB02217,No ATC Code,No Pathways
"N-[4-hydroxymethyl-cyclohexan-6-yl-1,2,3-triol]-4,6-dideoxy-4-aminoglucopyranoside",DB02218,No ATC Code,No Pathways
3-(cyclohexylamino)propanesulfonic acid,DB02219,No ATC Code,No Pathways
AL7089A,DB02220,No ATC Code,No Pathways
"4-(Aminosulfonyl)-N-[(2,4,6-Trifluorophenyl)Methyl]-Benzamide",DB02221,No ATC Code,No Pathways
"2,6-Diamino-(S)-9-[2-(Phosphonomethoxy)Propyl]Purine",DB02222,No ATC Code,No Pathways
LY231514 tetra glu,DB02223,No ATC Code,No Pathways
Taxifolin,DB02224,No ATC Code,No Pathways
"1,2-Di-N-Pentanoyl-Sn-Glycero-3-Dithiophosphocholine",DB02225,No ATC Code,No Pathways
"3,8-Diamino-6-Phenyl-5-[6-[1-[2-[(1,2,3,4-Tetrahydro-9-Acridinyl)Amino]Ethyl]-1h-1,2,3-Triazol-4-Yl]Hexyl]-Phenanthridinium",DB02226,No ATC Code,No Pathways
"4,5-Dihydroxy-Tetrahydro-Pyran-2-Carboxylic Acid",DB02227,No ATC Code,No Pathways
2-deoxy-2-fluoro-β-D-galactose,DB02228,No ATC Code,No Pathways
5'-O-[(L-methionyl)-sulphamoyl]adenosine,DB02229,No ATC Code,No Pathways
Immucillin-G,DB02230,No ATC Code,No Pathways
